no_ste;no_unit_cond;cd_emp;no_int_clg;dte_hre_crea;dte_hre_modif;aut_modif;typ_unit;qte;cd_lot;no_ext_unit_cond;cd_art;ind_pr_art;des_art_a;nrm_art_a;nrm_art_b;cd_art;des_art_a;ind_pr_art;cd_serie;dte_hre_crea;dte_hre_modif;dte_hre_entree;cpt_bnliv;cpt_bn_liv;no_ligne
1;2169445;ACF;;01/02/2022 08:36;01/02/2022 08:36;CFO;C;8;OF34627;2169445;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186572;01/02/2022 08:29;01/02/2022 08:29;01/02/2022 08:36;;;104
1;2169445;ACF;;01/02/2022 08:36;01/02/2022 08:36;CFO;C;8;OF34627;2169445;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186569;01/02/2022 08:29;01/02/2022 08:29;01/02/2022 08:36;;;104
1;2169444;ZF;;01/02/2022 08:27;01/02/2022 08:27;CFO;C;8;OF34619;2169444;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651067;01/02/2022 08:23;01/02/2022 08:23;01/02/2022 08:27;;;101
1;2169444;ZF;;01/02/2022 08:27;01/02/2022 08:27;CFO;C;8;OF34619;2169444;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651068;01/02/2022 08:23;01/02/2022 08:23;01/02/2022 08:27;;;101
1;2169444;ZF;;01/02/2022 08:27;01/02/2022 08:27;CFO;C;8;OF34619;2169444;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651069;01/02/2022 08:26;01/02/2022 08:26;01/02/2022 08:27;;;101
1;2169444;ZF;;01/02/2022 08:27;01/02/2022 08:27;CFO;C;8;OF34619;2169444;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651070;01/02/2022 08:27;01/02/2022 08:27;01/02/2022 08:27;;;101
1;2169443;ACF;;01/02/2022 08:22;01/02/2022 08:22;CFO;C;8;OF34627;2169443;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186566;01/02/2022 08:22;01/02/2022 08:22;01/02/2022 08:22;;;104
1;2169443;ACF;;01/02/2022 08:22;01/02/2022 08:22;CFO;C;8;OF34627;2169443;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186565;01/02/2022 08:22;01/02/2022 08:22;01/02/2022 08:22;;;104
1;2169444;ZF;;01/02/2022 08:27;01/02/2022 08:27;CFO;C;8;OF34619;2169444;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651065;01/02/2022 08:16;01/02/2022 08:16;01/02/2022 08:27;;;101
1;2169444;ZF;;01/02/2022 08:27;01/02/2022 08:27;CFO;C;8;OF34619;2169444;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651066;01/02/2022 08:20;01/02/2022 08:20;01/02/2022 08:27;;;101
1;2169443;ACF;;01/02/2022 08:22;01/02/2022 08:22;CFO;C;8;OF34627;2169443;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186560;01/02/2022 08:09;01/02/2022 08:09;01/02/2022 08:22;;;104
1;2169443;ACF;;01/02/2022 08:22;01/02/2022 08:22;CFO;C;8;OF34627;2169443;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186562;01/02/2022 08:09;01/02/2022 08:09;01/02/2022 08:22;;;104
